Filepath,Label
C:/plants/train\Grape___Black_rot\0563d959-cdc8-4e5f-be50-aff6238218be___FAM_B.Rot 3600.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\058433ea-b746-42b9-9d69-019a17ddf1a3___FAM_B.Rot 3486.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\05ca939c-220f-4ad0-a4be-a1de75a99034___FAM_B.Rot 0613.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\05f8c04d-9275-4ceb-99d9-42ba43ca5ec1___FAM_B.Rot 0502.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\06316202-5637-41f1-baf7-6d41b9af3cab___FAM_B.Rot 3591.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\06334f9c-abb5-4ded-b731-3588a818ec85___FAM_B.Rot 3497.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\06710c68-b3c8-4c7b-832c-5bec4aeb8417___FAM_B.Rot 0436.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\0679fd57-9695-4627-9825-b0a55cdfa84b___FAM_B.Rot 0451.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\06ca4e74-f852-4ee1-8100-2c88eccdf450___FAM_B.Rot 0585.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\07e911cc-751d-4e1e-ada5-2c363938b213___FAM_B.Rot 3619.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\08a5a9c9-6676-4125-8738-535d6479084a___FAM_B.Rot 5049.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\08a7300a-1e67-4441-9521-9168d47cd665___FAM_B.Rot 3020.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\0915201b-3e53-41e6-a9af-e3ae47754111___FAM_B.Rot 0411.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\091e0447-d502-43e2-a871-60251ad954ad___FAM_B.Rot 0486.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\0959dfd7-a6af-4e43-b99e-b248e7b3b2eb___FAM_B.Rot 5039.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\0968fd6a-7b51-4f22-811c-865284317412___FAM_B.Rot 3568.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\09cfe515-118c-475d-9f94-de565f56eb69___FAM_B.Rot 0360.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\09e87756-a12b-47fe-830d-fe1eddb42cae___FAM_B.Rot 0449.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\0a31549c-8adb-4acc-bab2-a0954f063054___FAM_B.Rot 0687.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\0abb363c-2365-4816-a6c4-ce4bac6ffc38___FAM_B.Rot 3122.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\0aec6325-48be-4373-886d-fff5aeea6d26___FAM_B.Rot 3465.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\0aff8add-93ad-4099-97ae-23515744e620___FAM_B.Rot 0748.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\0b11ac6a-9e24-4d9c-bbe9-e180eb81ff38___FAM_B.Rot 0581.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\0b9d95bb-51c7-40f1-8a4b-f9838becb418___FAM_B.Rot 0493.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\0baabe1e-b188-4c55-8f61-0f484f90c73b___FAM_B.Rot 3532.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\0bc6da94-2f94-4e4f-8858-b1a855dffbdf___FAM_B.Rot 3420.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\0bfeae5e-878a-45ac-b62c-fbdfa9577874___FAM_B.Rot 0501.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\0c9800f1-95a1-4ebb-a098-5fb51af0581b___FAM_B.Rot 3208.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\0cb269dc-10d1-45e6-b0d3-f96572fce674___FAM_B.Rot 5052.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\0d2c5ad5-1a2d-44f9-9be5-1aef9a51fb95___FAM_B.Rot 3469.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\0daaeb93-868a-4649-be74-19aa2b231f90___FAM_B.Rot 0739.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\0dad85ca-3b63-412d-bdf0-9cef2457e390___FAM_B.Rot 3218.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\0e7726c0-a309-4194-b2e6-d0e33af39373___FAM_B.Rot 0530.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\0e9897ae-15fd-4f67-809d-2ec7373cf457___FAM_B.Rot 0396.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\0f436459-1783-4ccd-87ec-0e5aff478fbc___FAM_B.Rot 3062.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\0ff1ecfd-d94e-4459-b74e-47b82900a0aa___FAM_B.Rot 0329.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\10101516-c385-4a77-9abd-38ec4fa98085___FAM_B.Rot 0712.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1043d0a4-26ff-40aa-abbf-eeca2dba898d___FAM_B.Rot 5018.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1056d6dd-766a-4d2a-8f07-901eb402fa2a___FAM_B.Rot 0539.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\106a2cd1-4ac3-4620-90fe-79067dea22d9___FAM_B.Rot 0456.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1071281e-821c-4570-adcf-42ae805ec8c9___FAM_B.Rot 3392.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\10ac6129-104c-4818-8497-b617119ac54e___FAM_B.Rot 0612.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\10c69f64-73f4-4bb0-9319-b660ffb60e11___FAM_B.Rot 3545.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\10d55a2e-3fa8-4823-bb74-714c5ff225b0___FAM_B.Rot 3001.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1116c855-b68e-4b46-a82b-ab5ff7963434___FAM_B.Rot 3569.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1132be9e-d2ff-42e6-9cd2-5d4087a39ca8___FAM_B.Rot 0413.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\114e772d-4784-4d26-b9a6-c15c56ece3ad___FAM_B.Rot 3515.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1151f6a1-64a7-4f9b-84d4-39f1a22466bd___FAM_B.Rot 5028.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\11b1f91d-8b25-4154-bd9a-f76e4f87c80a___FAM_B.Rot 3254.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\11d33215-d6b5-4a54-b41f-a6af58187681___FAM_B.Rot 0759.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\11ed8598-1b06-498a-ac27-7feda481e0b7___FAM_B.Rot 3593.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\11f66442-5612-499c-a0a1-77f8c3668234___FAM_B.Rot 0727.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1265c7db-f189-48ca-8a41-f894c763925a___FAM_B.Rot 0573.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\12669996-08a8-4ed9-80fb-6f0e1fabca8a___FAM_B.Rot 0386.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\12913612-fce1-49ac-99fc-779e1ce7809c___FAM_B.Rot 5024.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\12ab53a5-dbd3-4f9f-a95b-500f6c1c4bff___FAM_B.Rot 3195.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1375f445-5685-45b8-b309-25bfa15e1665___FAM_B.Rot 3351.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\141056ca-ab0e-48b7-9495-7b193ccfccb7___FAM_B.Rot 3585.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1509eec1-4fd9-4877-b52a-62bb3f7c254e___FAM_B.Rot 5098.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\150f2f38-a17a-4d8b-9ba2-406c8d2e7b8a___FAM_B.Rot 3119.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1559ee07-0272-4e4f-ac7a-66d47d3a808d___FAM_B.Rot 3249.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1596dd33-4e8c-4e1f-8b9e-1894f2dbb1d6___FAM_B.Rot 0353.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\15970ab4-a9f2-4420-966b-38a0cad8f1dc___FAM_B.Rot 3606.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\15a4e7ad-b75d-433a-8bb8-097ab86a71fb___FAM_B.Rot 0515.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\15c4e53d-7eb2-4a69-8060-81bfd6ccc4a3___FAM_B.Rot 3610.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\168249fa-71cb-4da7-b1c7-8c14605159ac___FAM_B.Rot 0504.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\16a648d0-41d6-4439-be10-0ac137b28c3c___FAM_B.Rot 3292.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1701d7e3-686d-4dc3-b8fe-1fb220c422fc___FAM_B.Rot 0485.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1770b6b2-5d95-41b5-b535-31d81b021b38___FAM_B.Rot 3196.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\178456dc-6b03-4f5f-8503-8550b0d5f49a___FAM_B.Rot 3626.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\180b88ab-4603-47eb-ab9e-ffd2a58779ec___FAM_B.Rot 3182.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\18d435db-593f-4702-9bb4-f23ee8c3e726___FAM_B.Rot 3256.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\18e68e49-97d7-469e-b86f-eb8814aad525___FAM_B.Rot 3328.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\190ae3d6-39ce-4512-818d-3feef7802d8a___FAM_B.Rot 3179.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1987f6fe-4090-4186-b0fd-2c86eb01a38c___FAM_B.Rot 3260.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1a081ae3-fab7-4a12-8ba4-2e46cab5f344___FAM_B.Rot 5059.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1a1ba048-3ecb-4ad3-9ccf-87ee96b9a75e___FAM_B.Rot 3628.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1a6aabd0-7ca8-4074-a457-5a8f3662a7d7___FAM_B.Rot 3539.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1b49994b-904a-4f13-8c97-e72b68d9d6e4___FAM_B.Rot 3079.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1b9b236c-8b25-4473-b3d3-e83c7218cb3b___FAM_B.Rot 3290.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1bcdb090-ec74-4b88-812e-1d27d99f5a5f___FAM_B.Rot 0325.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1be11ac2-41f6-43a9-9fc3-a673ae539757___FAM_B.Rot 0656.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1c2b4d6c-dc3d-4913-b98f-2da54c4f6614___FAM_B.Rot 3602.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1cb9fa90-804f-4b63-9cf7-bab274ab9c5e___FAM_B.Rot 3325.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1ccd890e-9e06-44cf-8495-8f229e7bb89b___FAM_B.Rot 3614.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1cf4f8fe-a820-4f3d-b69b-795e57e03a65___FAM_B.Rot 3438.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1d02b5ac-6f6e-4935-a841-2cd5b608ddf3___FAM_B.Rot 3060.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1d3c0f3d-1b66-4cfc-b67b-af9760864e99___FAM_B.Rot 3317.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1d482244-3c8c-40fa-8a40-a0ad06ae1e7b___FAM_B.Rot 5100.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1e24a20d-3dbf-42fe-b3ee-0a1281a92159___FAM_B.Rot 0636.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1e3a2734-e21c-438e-a344-935d8d2129f7___FAM_B.Rot 5063.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1e828732-ed86-4741-b9e5-2e7c3785c1ff___FAM_B.Rot 3015.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1eb25f7e-eed4-4dec-baab-3c4cfde9ef52___FAM_B.Rot 5053.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1ec97b51-e18c-4143-9b7a-1a3ad1b71590___FAM_B.Rot 3108.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1f3c15b8-5d36-4238-a6d3-f5a23ad8865c___FAM_B.Rot 3514.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1f65cd54-490a-49a4-909c-a648ea5bc8ed___FAM_B.Rot 0498.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1f9d01f0-dde4-49f5-9c27-e87432451556___FAM_B.Rot 3414.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\1fd3808a-4e87-4cc0-8b5a-5e12de26c538___FAM_B.Rot 3253.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\20116670-5108-4cd0-a941-b51046151c43___FAM_B.Rot 3551.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\2011a0a0-a9f9-4be8-9a2e-db1d4a655d01___FAM_B.Rot 3471.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\204c54ed-d895-4fb5-a2ba-4164ea1b19d3___FAM_B.Rot 3163.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\20665daf-9b0c-4485-84e3-1387941ce4b3___FAM_B.Rot 0516.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\208a1a2c-c037-429c-9476-81fc568bde5f___FAM_B.Rot 3049.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\21008a79-e393-498c-b9f8-7c579b911b3e___FAM_B.Rot 0661.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\21530b5c-f5aa-495f-b567-96a1d25b4388___FAM_B.Rot 0380.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\220154d8-a9a0-4705-9626-db37647e138f___FAM_B.Rot 3401.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\2224007e-bf2b-40a0-976f-738871210fc7___FAM_B.Rot 3587.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\226d7916-5a55-4593-b85f-1e53235b04d2___FAM_B.Rot 3099.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\22948851-070e-408a-8564-2832b005ef5a___FAM_B.Rot 3520.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\22b31ec6-6351-46d5-ab93-38fefa7ca2ae___FAM_B.Rot 5086.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\237405e4-4ba2-486f-b29f-ceed2a217a90___FAM_B.Rot 3225.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\23902df1-1c32-482d-8b4a-3fbda797ca73___FAM_B.Rot 3216.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\23b27c33-a960-4f91-9160-045f3471ff7b___FAM_B.Rot 0430.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\23e782fa-551e-4d96-9f22-bd64decad558___FAM_B.Rot 5068.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\23ec3d02-67f1-4dd9-95a5-302f998bebe8___FAM_B.Rot 0629.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\24076a50-f715-4b02-b1fc-d5b83ab06174___FAM_B.Rot 3341.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\2442faf8-279d-44a3-9b81-22db5be3d477___FAM_B.Rot 0555.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\244704b0-04bb-4cf8-aa12-cde3425ecf77___FAM_B.Rot 5079.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\24946c4f-660a-4595-9196-4febfaeab66f___FAM_B.Rot 5109.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\24bb2117-b963-419d-af41-87ebd4cb204f___FAM_B.Rot 3275.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\2541dbf5-a9ef-4822-9d47-409bf36d988f___FAM_B.Rot 0634.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\25724a0e-ed32-47d0-b5bc-70d4c5d0ac9a___FAM_B.Rot 0593.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\2588912e-39a8-40d7-a22c-a4cfdd4d09f5___FAM_B.Rot 3388.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\25b865db-bc3b-495f-aab9-966787d9f408___FAM_B.Rot 3055.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\25b99cd6-6e9d-48e9-a3f9-a4df821fb659___FAM_B.Rot 3271.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\26164e5c-d4d9-469c-a182-e43a7acf843e___FAM_B.Rot 3053.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\26c24a0b-568c-407b-90b6-7335ac631f8a___FAM_B.Rot 0536.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\27292fc6-b4d8-4c2c-b0a8-36d4abf2a1a9___FAM_B.Rot 0643.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\27b5d19c-5462-40b8-95ce-765bd7f2795c___FAM_B.Rot 3030.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\2811c5a0-6f98-413d-bd3a-08f34fde27ec___FAM_B.Rot 3152.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\2826340e-dbd6-4e2c-b097-2b0dcec8ab77___FAM_B.Rot 0420.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\288b8171-727a-49c5-ac1a-bda4698a284f___FAM_B.Rot 3580.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\28e1d198-a1d1-4a3a-90e9-91b783c4c40a___FAM_B.Rot 3061.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\2908ec8f-e731-4b36-8d87-22076e0bf01d___FAM_B.Rot 3556.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\2937853b-b9b5-4bb1-8dcc-913403781965___FAM_B.Rot 3565.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\29603fff-11e8-4e0a-ae1f-4a65612b25fd___FAM_B.Rot 3233.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\2967ce16-10d0-4a61-90af-4d5092c1538e___FAM_B.Rot 3054.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\29a79416-7d6b-45b9-b48e-c40ca10bde21___FAM_B.Rot 0617.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\2a0ee669-62f0-4f4a-8edc-c37e2bbe461d___FAM_B.Rot 3578.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\2a23e141-e983-44b0-8898-5c65edf9d44e___FAM_B.Rot 0604.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\2aaa0d89-c8cd-458c-9419-cbe916c1b4da___FAM_B.Rot 0403.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\2b65c0c7-ceaa-4e42-9bf7-8df56e73e992___FAM_B.Rot 0582.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\2b6ed613-e216-43ac-b518-ee54873b21e3___FAM_B.Rot 0639.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\2b89af9b-90fc-406a-90af-7fbd25566267___FAM_B.Rot 3616.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\2c0330a4-9a3c-4edb-8c52-cf99f94abe9d___FAM_B.Rot 0669.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\2c41c29f-8937-433d-aac8-9f18fef0d702___FAM_B.Rot 3107.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\2ccb0a01-cda1-4fd2-a56a-601ab904d887___FAM_B.Rot 3439.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\2d362d18-4de1-4c49-8655-31d553305865___FAM_B.Rot 3485.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\2d73e025-38f5-4d98-8ca9-253d44c922c6___FAM_B.Rot 3232.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\2d741855-2ea0-4103-8408-129208ebfb24___FAM_B.Rot 5013.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\2d9c7e4e-a960-4de9-b606-d36c01b89778___FAM_B.Rot 0707.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\2e63e970-cfb6-4bcf-865b-7b3cdf3d51e0___FAM_B.Rot 3338.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\2e875c76-45f3-48f9-b678-f2282da11408___FAM_B.Rot 3101.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\2e9ce8b1-28a5-4a47-8b66-8ffdce48f100___FAM_B.Rot 5027.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\302b14ac-d6aa-43af-95a6-fb305454c6ab___FAM_B.Rot 0587.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\305be5c1-b018-4597-ada2-aaba5ae44eef___FAM_B.Rot 3113.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\3072a8cf-182b-49c4-add6-e51981a12b1f___FAM_B.Rot 3384.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\30cd541f-ff78-49e8-b114-01508f09144b___FAM_B.Rot 5020.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\30f1fd47-5562-44a1-8e3d-9339c3c12064___FAM_B.Rot 3022.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\314a8a7e-9409-4e3c-9be4-e00156db4d19___FAM_B.Rot 3542.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\314f0d89-f61c-4076-8584-85f51fdcfb06___FAM_B.Rot 3566.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\315c24e9-0f5a-4546-a2ce-4c878108e27d___FAM_B.Rot 3065.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\31e5573c-63a3-4417-94f4-4ef4dd19f56b___FAM_B.Rot 3478.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\32ccb28a-15a7-4358-8806-a052914b00e0___FAM_B.Rot 0523.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\33a6b4b5-8cc8-4533-b831-eb40c4ec61f9___FAM_B.Rot 3188.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\33f329ff-48f1-4c8d-b88c-2fcf9e2a94f7___FAM_B.Rot 3037.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\3432b9e9-a51a-4ce2-973e-b91e311ae6ef___FAM_B.Rot 3362.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\34878c07-352a-4f39-bb81-6249f121fe34___FAM_B.Rot 3459.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\34d6187c-5a9a-4f1b-8201-969040c8d9eb___FAM_B.Rot 3574.JPG,Grape___Black_rot
C:/plants/train\Grape___Black_rot\351a2629-8312-47fe-be70-2cd33d7548b5___FAM_B.Rot 3390.JPG,Grape___Black_rot
